Year,Month,Day,Hour,Minute,Wave Height,Direction Dominant Period,Average Wave Period,Tide
2023,01,06,14,00,0.33,6.06,3.34,99.00
2023,01,06,14,30,0.30,6.90,2.76,99.00
2023,01,06,15,00,0.34,7.14,2.60,99.00
2023,01,06,15,30,0.39,6.06,2.74,99.00
2023,01,06,16,00,0.37,2.41,2.53,99.00
2023,01,06,16,30,0.40,2.41,2.55,99.00
2023,01,06,17,00,0.39,2.47,2.44,99.00
2023,01,06,17,30,0.37,2.47,2.47,99.00
2023,01,06,18,00,0.41,2.47,2.38,99.00
2023,01,06,18,30,0.43,2.56,2.43,99.00
2023,01,06,19,00,0.44,2.38,2.35,99.00
2023,01,06,19,30,0.45,2.38,2.36,99.00
2023,01,06,20,00,0.42,2.70,2.36,99.00
2023,01,06,20,30,0.36,2.60,2.37,99.00
2023,01,06,21,00,0.32,2.47,2.43,99.00
2023,01,06,21,30,0.31,2.22,2.39,99.00
2023,01,06,22,00,0.33,2.30,2.33,99.00
2023,01,06,22,30,0.34,2.30,2.40,99.00
2023,01,06,23,00,0.31,7.14,2.51,99.00
2023,01,06,23,30,0.30,2.15,2.59,99.00
2023,01,07,00,00,0.29,7.41,2.83,99.00
2023,01,07,00,30,0.29,6.45,3.04,99.00
2023,01,07,01,00,0.27,7.41,2.97,99.00
2023,01,07,01,30,0.25,7.14,3.05,99.00
2023,01,07,02,00,0.25,6.67,3.04,99.00
2023,01,07,02,30,0.28,5.88,3.38,99.00
2023,01,07,03,00,0.27,6.06,3.45,99.00
2023,01,07,03,30,0.27,6.25,3.45,99.00
2023,01,07,04,00,0.26,6.45,3.56,99.00
2023,01,07,04,30,0.25,6.90,3.59,99.00
2023,01,07,05,00,0.27,6.25,3.66,99.00
2023,01,07,05,30,0.27,6.90,3.56,99.00
2023,01,07,06,00,0.27,6.67,3.37,99.00
2023,01,07,06,30,0.31,3.57,3.53,99.00
2023,01,07,07,00,0.28,6.90,3.45,99.00
2023,01,07,07,30,0.27,6.25,3.39,99.00
2023,01,07,08,00,0.31,6.25,3.57,99.00
2023,01,07,08,30,0.38,6.45,3.77,99.00
2023,01,07,09,00,0.34,6.67,3.43,99.00
2023,01,07,09,30,0.31,6.45,3.23,99.00
2023,01,07,10,00,0.35,6.90,3.10,99.00
2023,01,07,10,30,0.40,6.67,3.11,99.00
2023,01,07,11,00,0.41,2.99,3.12,99.00
2023,01,07,11,30,0.38,2.86,3.18,99.00
2023,01,07,12,00,0.40,3.13,3.37,99.00
2023,01,07,12,30,0.45,5.71,3.47,99.00
2023,01,07,13,00,0.43,3.33,3.45,99.00
2023,01,07,13,30,0.45,3.45,3.46,99.00
2023,01,07,14,00,0.45,3.64,3.57,99.00
2023,01,07,14,30,0.44,3.51,3.55,99.00
2023,01,07,15,00,0.46,3.51,3.59,99.00
2023,01,07,15,30,0.46,3.57,3.57,99.00
2023,01,07,16,00,0.44,3.51,3.53,99.00
2023,01,07,16,30,0.42,3.70,3.63,99.00
2023,01,07,17,00,0.41,3.64,3.56,99.00
2023,01,07,17,30,0.41,3.51,3.67,99.00
2023,01,07,18,00,0.42,3.51,3.58,99.00
2023,01,07,18,30,0.40,3.77,3.56,99.00
2023,01,07,19,00,0.39,3.77,3.62,99.00
2023,01,07,19,30,0.39,3.51,3.59,99.00
2023,01,07,20,00,0.40,3.92,3.76,99.00
2023,01,07,20,30,0.37,3.45,3.65,99.00
2023,01,07,21,00,0.39,3.45,3.83,99.00
2023,01,07,21,30,0.39,3.85,3.83,99.00
2023,01,07,22,00,0.38,5.71,3.76,99.00
2023,01,07,22,30,0.39,5.26,3.81,99.00
2023,01,07,23,00,0.38,4.88,3.84,99.00
2023,01,07,23,30,0.37,3.57,3.83,99.00
2023,01,08,00,00,0.38,4.00,3.85,99.00
2023,01,08,00,30,0.45,5.71,3.95,99.00
2023,01,08,01,00,0.39,4.55,3.84,99.00
2023,01,08,01,30,0.40,5.56,3.92,99.00
2023,01,08,02,00,0.37,4.44,3.89,99.00
2023,01,08,02,30,0.39,3.33,3.90,99.00
2023,01,08,03,00,0.41,4.76,3.86,99.00
2023,01,08,03,30,0.41,4.88,3.92,99.00
2023,01,08,04,00,0.40,3.70,3.83,99.00
2023,01,08,04,30,0.41,3.45,3.82,99.00
2023,01,08,05,00,0.40,4.65,3.78,99.00
2023,01,08,05,30,0.41,4.76,3.90,99.00
2023,01,08,06,00,0.41,3.39,3.91,99.00
2023,01,08,06,30,0.44,4.35,3.94,99.00
2023,01,08,07,00,0.44,4.55,3.89,99.00
2023,01,08,07,30,0.43,5.26,3.79,99.00
2023,01,08,08,00,0.44,3.85,3.70,99.00
2023,01,08,08,30,0.47,3.45,3.78,99.00
2023,01,08,09,00,0.44,5.26,3.63,99.00
2023,01,08,09,30,0.44,4.65,3.58,99.00
2023,01,08,10,00,0.43,5.71,3.41,99.00
2023,01,08,10,30,0.48,5.88,3.32,99.00
2023,01,08,11,00,0.50,4.35,3.30,99.00
2023,01,08,11,30,0.50,5.00,3.33,99.00
2023,01,08,12,00,0.51,5.56,3.56,99.00
2023,01,08,12,30,0.52,5.71,3.51,99.00
2023,01,08,13,00,0.55,5.88,3.49,99.00
2023,01,08,13,30,0.55,6.06,3.59,99.00
2023,01,08,14,00,0.50,5.41,3.40,99.00
2023,01,08,14,30,0.51,5.13,3.46,99.00
2023,01,08,15,00,0.48,3.45,3.39,99.00
2023,01,08,15,30,0.49,5.13,3.51,99.00
2023,01,08,16,00,0.49,5.71,3.69,99.00
2023,01,08,16,30,0.50,3.39,3.56,99.00
2023,01,08,17,00,0.51,5.88,3.70,99.00
2023,01,08,17,30,0.51,5.00,3.72,99.00
2023,01,08,18,00,0.50,5.71,3.87,99.00
2023,01,08,18,30,0.46,4.88,3.89,99.00
2023,01,08,19,00,0.46,4.88,4.01,99.00
2023,01,08,19,30,0.48,5.56,4.22,99.00
2023,01,08,20,00,0.52,5.88,3.88,99.00
2023,01,08,20,30,0.57,5.88,3.54,99.00
2023,01,08,21,00,0.52,5.41,3.09,99.00
2023,01,08,21,30,0.51,4.88,3.22,99.00
2023,01,08,22,00,0.48,5.26,3.33,99.00
2023,01,08,22,30,0.45,5.26,3.29,99.00
2023,01,08,23,00,0.46,5.71,3.35,99.00
2023,01,08,23,30,0.45,5.41,3.42,99.00
2023,01,09,00,00,0.45,5.13,3.61,99.00
2023,01,09,00,30,0.42,5.13,3.59,99.00
2023,01,09,01,00,0.43,5.13,3.86,99.00
2023,01,09,01,30,0.40,5.26,3.91,99.00
2023,01,09,02,00,0.41,5.56,4.11,99.00
2023,01,09,02,30,0.41,4.88,4.17,99.00
2023,01,09,03,00,0.39,5.56,4.20,99.00
2023,01,09,03,30,0.39,5.56,4.35,99.00
2023,01,09,04,00,0.42,4.88,4.38,99.00
2023,01,09,04,30,0.43,5.00,4.33,99.00
2023,01,09,05,00,0.44,5.26,4.20,99.00
2023,01,09,05,30,0.42,5.13,4.42,99.00
2023,01,09,06,00,0.41,5.26,4.32,99.00
2023,01,09,06,30,0.42,5.00,4.41,99.00
2023,01,09,07,00,0.45,5.56,4.52,99.00
2023,01,09,07,30,0.43,5.41,4.34,99.00
2023,01,09,08,00,0.46,5.26,4.39,99.00
2023,01,09,08,30,0.43,5.71,4.16,99.00
2023,01,09,09,00,0.44,5.26,4.35,99.00
2023,01,09,09,30,0.42,5.56,4.27,99.00
2023,01,09,10,00,0.44,5.71,3.87,99.00
2023,01,09,10,30,0.50,5.56,3.41,99.00
2023,01,09,11,00,0.51,5.71,3.14,99.00
2023,01,09,11,30,0.54,5.56,2.98,99.00
2023,01,09,12,00,0.62,2.99,2.93,99.00
2023,01,09,12,30,0.73,3.08,3.07,99.00
2023,01,09,13,00,0.71,3.28,3.03,99.00
2023,01,09,13,30,0.64,3.08,2.92,99.00
2023,01,09,14,00,0.61,3.03,2.87,99.00
2023,01,09,14,30,0.62,2.99,2.87,99.00
2023,01,09,15,00,0.62,2.99,2.86,99.00
2023,01,09,15,30,0.62,3.03,2.82,99.00
2023,01,09,16,00,0.58,2.74,2.77,99.00
2023,01,09,16,30,0.57,2.82,2.71,99.00
2023,01,09,17,00,0.59,2.78,2.75,99.00
2023,01,09,17,30,0.58,2.70,2.84,99.00
2023,01,09,18,00,0.55,2.74,2.81,99.00
2023,01,09,18,30,0.55,2.82,2.79,99.00
2023,01,09,19,00,0.52,2.86,2.78,99.00
2023,01,09,19,30,0.48,2.78,2.82,99.00
2023,01,09,20,00,0.49,2.70,2.82,99.00
2023,01,09,20,30,0.48,2.70,2.80,99.00
2023,01,09,21,00,0.46,2.90,2.81,99.00
2023,01,09,21,30,0.43,2.82,2.82,99.00
2023,01,09,22,00,0.47,2.74,2.75,99.00
2023,01,09,22,30,0.48,2.74,2.78,99.00
2023,01,09,23,00,0.50,2.99,2.77,99.00
2023,01,09,23,30,0.48,2.86,2.80,99.00
2023,01,10,00,00,0.47,2.99,2.96,99.00
2023,01,10,00,30,0.44,2.70,2.89,99.00
2023,01,10,01,00,0.42,2.67,2.82,99.00
2023,01,10,01,30,0.43,5.88,2.99,99.00
2023,01,10,02,00,0.39,2.63,2.91,99.00
2023,01,10,02,30,0.40,7.69,3.01,99.00
2023,01,10,03,00,0.39,7.41,3.14,99.00
2023,01,10,03,30,0.38,6.90,3.20,99.00
2023,01,10,04,00,0.38,6.90,3.10,99.00
2023,01,10,04,30,0.37,8.00,3.20,99.00
2023,01,10,05,00,0.35,7.41,3.38,99.00
2023,01,10,05,30,0.34,7.41,3.49,99.00
2023,01,10,06,00,0.30,7.14,3.46,99.00
2023,01,10,06,30,0.31,7.41,3.68,99.00
2023,01,10,07,00,0.32,7.41,3.86,99.00
2023,01,10,07,30,0.31,7.14,3.81,99.00
2023,01,10,08,00,0.29,7.14,3.96,99.00
2023,01,10,08,30,0.28,7.69,4.03,99.00
2023,01,10,09,00,0.30,6.90,4.37,99.00
2023,01,10,09,30,0.29,6.45,4.03,99.00
2023,01,10,10,00,0.27,6.45,4.21,99.00
2023,01,10,10,30,0.30,6.06,4.44,99.00
2023,01,10,11,00,0.30,6.90,4.80,99.00
2023,01,10,11,30,0.31,6.06,4.66,99.00
2023,01,10,12,00,0.28,6.25,4.91,99.00
2023,01,10,12,30,0.30,5.88,4.67,99.00
2023,01,10,13,00,0.33,5.88,4.51,99.00
2023,01,10,13,30,0.32,6.25,4.43,99.00
2023,01,10,14,00,0.29,6.45,4.04,99.00
2023,01,10,14,30,0.28,6.45,4.03,99.00
2023,01,10,15,00,0.29,5.88,4.11,99.00
2023,01,10,15,30,0.28,6.45,4.01,99.00
2023,01,10,16,00,0.28,5.71,3.94,99.00
2023,01,10,16,30,0.28,6.90,4.04,99.00
2023,01,10,17,00,0.27,5.88,4.01,99.00
