#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 09 00 999 99.0 99.0  0.39  5.71  4.39 152 9999.0  16.5  15.4 999.0 99.0 99.00
2023 01 02 09 30 999 99.0 99.0  0.39  5.13  4.43 177 9999.0  16.4  15.5 999.0 99.0 99.00
2023 01 02 10 00 999 99.0 99.0  0.39  5.71  4.37 162 9999.0  16.5  15.4 999.0 99.0 99.00
2023 01 02 10 30 999 99.0 99.0  0.37  5.71  4.20 158 9999.0  16.3  15.5 999.0 99.0 99.00
2023 01 02 11 00 999 99.0 99.0  0.37  5.26  4.06 172 9999.0  16.5  15.5 999.0 99.0 99.00
2023 01 02 11 30 999 99.0 99.0  0.36  5.26  3.87 170 9999.0  16.8  15.5 999.0 99.0 99.00
2023 01 02 12 00 999 99.0 99.0  0.38  6.45  4.07 165 9999.0  16.4  15.5 999.0 99.0 99.00
2023 01 02 12 30 999 99.0 99.0  0.37  5.71  3.75 173 9999.0  16.6  15.6 999.0 99.0 99.00
2023 01 02 13 00 999 99.0 99.0  0.37  5.56  3.79 171 9999.0  16.6  15.7 999.0 99.0 99.00
2023 01 02 13 30 999 99.0 99.0  0.38  5.41  3.72 170 9999.0  16.8  15.8 999.0 99.0 99.00
2023 01 02 14 00 999 99.0 99.0  0.38  5.71  3.47 160 9999.0  17.2  16.0 999.0 99.0 99.00
2023 01 02 14 30 999 99.0 99.0  0.39  5.56  3.44 157 9999.0  17.8  16.1 999.0 99.0 99.00
2023 01 02 15 00 999 99.0 99.0  0.39  5.41  3.35 177 9999.0  18.0  16.3 999.0 99.0 99.00
2023 01 02 15 30 999 99.0 99.0  0.41  5.13  3.43 150 9999.0 999.0  16.6 999.0 99.0 99.00
2023 01 02 16 00 999 99.0 99.0  0.41  5.26  3.46 168 9999.0 999.0  16.8 999.0 99.0 99.00
2023 01 02 16 30 999 99.0 99.0  0.41  5.56  3.42 167 9999.0  18.4  17.1 999.0 99.0 99.00
2023 01 02 17 00 999 99.0 99.0  0.42  5.26  3.37 180 9999.0  18.8  17.5 999.0 99.0 99.00
2023 01 02 17 30 999 99.0 99.0  0.44  5.26  3.20 184 9999.0  19.4  17.8 999.0 99.0 99.00
2023 01 02 18 00 999 99.0 99.0  0.47  5.88  3.24 170 9999.0  18.9  18.1 999.0 99.0 99.00
2023 01 02 18 30 999 99.0 99.0  0.48  5.71  3.31 190 9999.0  18.6  18.2 999.0 99.0 99.00
2023 01 02 19 00 999 99.0 99.0  0.47  5.56  3.35 188 9999.0  19.4  18.3 999.0 99.0 99.00
2023 01 02 19 30 999 99.0 99.0  0.44  5.00  3.45 185 9999.0  18.6  17.8 999.0 99.0 99.00
2023 01 02 20 00 999 99.0 99.0  0.45  5.41  3.85 181 9999.0  18.9  17.5 999.0 99.0 99.00
2023 01 02 20 30 999 99.0 99.0  0.45  5.26  3.97 184 9999.0  18.9  17.3 999.0 99.0 99.00
